id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,3.3799414618543925e-05,5.517578193240578e-05,1.4294876980855913e-06,0.09535373808172232,1.7706119757321027e-05,1.0882494872418212e-06,0.0006817474916261663,5.047361943459141e-07,2.0219027414143636e-06,6.005553936490442e-05,3.562340505627276e-05,1.1165750662925072e-05,0.00013433874674020614,8.357362411815395e-06,1.7370065804103013e-05,0.00010438885510299585,3.370373379985047e-05,4.8043471205969276e-06,0.000533168631510289,0.00021944450943634587,0.0006418052546211303,1.1896009183574862e-06,0.0001492805580958538,3.773855718611195e-05,0.0001214604887654394,2.32174275735679e-05,0.0009097907677236057,2.0025624716378595e-05,0.00017129932607577592,0.00024135704716774994,7.663848169870491e-05,0.00016050414346638862,0.0003768151272479355,2.125815222716227e-06,0.000298660407727225,1.2707342365457093e-05,0.001501797811458358,1.5780412870815645e-05,7.393242505791949e-06,2.4331482998826703e-05,1.1422756615391618e-06,0.00017592020043672918,9.128866861466519e-05,0.0004201804706347709,1.173841084340492e-05,0.002698900782290959,0.0019308017407581428,8.883256170049324e-05,2.427937021992657e-05,6.941643538545786e-05,0.0020019106789445204,0.8532456682218651,8.25060828525994e-05,0.0004564552833322407,1.862744767229157e-05,0.005528888212645344,0.0008124279134980837,2.837230569205751e-07,0.002532590520800209,0.00012590242632101324,0.000527496973299022,5.956591028571922e-05,1.0154479820892647e-05,6.612720966175471e-05,0.0008385756057393666,0.00023496449103253125,2.5488157310752386e-06,1.990033506948708e-05,6.42186525801483e-05,0.0033996369789551927,2.752290820725803e-05,4.8675660440510044e-05,7.609668019703272e-06,8.983600518367552e-06,0.0016707978935828172,3.284371080318782e-05,0.0005844593558542719,7.082865768278866e-06,1.6516070905412837e-05,0.003929713707561157,0.00035262162361863287,0.0003521736523578126,0.0018511051091769256,0.00026475806811712975,0.0018093233536578802,0.001716256764681621,1.838901893860213e-05,0.0002518741521244676,6.411973977505502e-06,1.423240805655432e-05,0.007213141461739936,4.839090989195604e-05,5.399018889802569e-05,0.0019048551595179698,3.651968396267158e-05,6.148095170447081e-06,8.989406708008751e-05,1.1095432745716361e-05,2.01114217210765e-05
7,1.432386757606758e-05,0.0002170594164119682,3.221529764750715e-05,0.011228017900135492,8.380642274134747e-05,5.195079595091711e-05,0.005446242028558854,6.3967131909078015e-06,1.1981041750275586e-05,0.0003698759078572799,0.00023729951122496265,7.5772994135745e-05,0.00013378207490258025,0.00013805051083980153,0.00014655612322133873,0.00014542715970419264,0.0001230288292906066,5.758502785495124e-05,0.0005600295395420355,0.0026526914876555236,6.227865079633099e-05,3.697188598123914e-05,0.0002698258621162523,7.553701458842548e-05,9.240727197307957e-05,0.00011322499510024438,0.001028943550094158,5.090239098763765e-05,0.0013036020601032495,3.8548050059237345e-05,0.002273790744804045,0.0003070372591689575,3.410540187415693e-05,4.897784596986842e-06,0.0012882237344817578,3.335761133933509e-05,0.0009784556918628908,6.2066985721323384e-06,2.4852774361019312e-05,5.142770899497822e-05,7.390342265611772e-07,0.00028150004741062665,0.00046460199608815074,0.0013387271382298647,1.7494545332677994e-05,0.0017073638490365999,0.004540147223295782,0.004807939381756388,0.0003282335991324201,3.293667539352572e-05,0.7740139602547066,0.007313372528335165,0.00037004299083765385,0.0280538973530607,0.0012074576275439542,0.008303426547605379,0.02327858799119822,5.272464108481745e-07,8.671624961091323e-05,0.00017214357861603693,0.0011669254282901326,0.0002526881124714853,1.3607401035912204e-05,0.0006756370279624529,0.0016143104746695234,6.818481623718132e-05,5.181287767344229e-05,0.0003802882225780058,0.001469037779314886,0.044120575592643374,9.264139528277363e-05,7.427225737100311e-05,1.2012281419465742e-05,0.00030396403156511407,0.006084042592084201,0.0001242910821476567,0.0018388117076149442,3.716025380250396e-05,0.0005715332203071414,0.0045071451627041,0.0015011368221002418,0.0007346056767318688,0.00011639100572308476,0.03573556388538332,0.0005450484514651965,0.00043326367649645285,0.0007136821864764979,0.0022633482435067093,2.3295218500457026e-05,2.433272263809825e-05,0.00030215816387100814,3.01008792505957e-05,0.00017457092960377786,0.0002183864729726839,0.001771291169014955,3.5599767920713586e-05,0.002991680194373002,1.5455417873417794e-05,0.0027846417490460765
9,0.00017711642379305748,0.8781474641030812,0.0003989966516398896,6.898884003046378e-05,0.02193134241026104,0.00012196294365160184,3.7404566058171605e-05,2.673593305910939e-05,0.04866394303705271,0.000260261692584153,0.00021225874730987647,0.0005875545480813605,2.8135561002368994e-05,1.5265514601108068e-05,0.0005017772095376557,0.00011069089556267172,0.020398592009136476,8.395195889405558e-07,4.552240667508439e-05,0.0002780313791052459,3.105639590945402e-06,1.8853820934138557e-05,5.544864464414891e-08,1.1973660299212286e-07,2.4891666132655443e-07,0.001926090752200506,0.0019338752555846557,2.6504978550387324e-07,1.141109662772211e-05,3.832698959906263e-06,1.569452169050471e-05,0.0001231714822279181,0.00011960724730230573,0.00066583664625667,8.049359722078737e-06,0.000695170352963455,4.389018082851173e-06,1.7866565668577732e-07,1.1567754829843786e-06,0.0005446089212460882,0.00012292714321962886,3.752776878488264e-05,2.3592721897750854e-05,2.2245166107841543e-05,1.8081142338795215e-05,2.2403957363994262e-05,8.27715393631171e-08,0.0017151747570221202,0.00232316115488057,0.00012935631962908417,9.94640632223485e-05,4.073434371546706e-07,1.965883606874041e-05,0.00037884297463807213,7.914824690888927e-06,5.244066866777681e-06,0.0007694060862596088,9.40086767796717e-08,5.841434122123483e-07,7.72468687630872e-06,0.00026231701389429617,5.4261085529723245e-06,7.432753481079509e-06,1.1731433962580333e-05,1.188306274250384e-05,3.9014475844549855e-05,3.6754232350870106e-05,5.828144097909115e-07,7.786122506816188e-07,0.0004319478274059437,9.672398897097885e-06,4.8871673954483875e-05,0.000174478121585032,0.00012721772119185103,0.0003104400632249398,2.5379943803542334e-05,3.8450375253507636e-07,1.6791297614878787e-06,0.00021264928532470354,3.1570251155910534e-06,3.661468866727978e-06,1.623749269229533e-05,4.919835732435346e-07,9.861757259625358e-06,0.00013443616180849023,0.0012423561660026613,3.3394750856228856e-05,7.872833335878306e-05,4.787413438693361e-07,8.663352314128459e-05,0.00017072631775011152,2.5715997692502802e-05,1.0569896209334943e-05,1.5154866293149475e-05,5.1932537398269734e-05,0.00028377300295513724,3.568560239960388e-06,1.1822763469707451e-06,0.012316798229735394
12,6.5115143133104104e-06,0.004285625494659848,7.160189535274088e-06,1.4773554118268338e-05,5.935224253739181e-05,1.3015926618003827e-06,0.0003065858617448471,4.591511497547142e-06,0.006097402105957753,0.0005963273266562632,4.0282005738596655e-05,0.003276835865819005,0.02048814792200108,0.03006107983248912,0.0033322894486851836,8.886692604794557e-05,0.0002744933679459706,0.0006692992266589907,1.3979117811029495e-05,0.8156625933868774,1.6020690494299995e-05,9.000752195995869e-06,0.0001830846857052418,2.005353204406423e-06,3.501079458919117e-06,1.8280279756467203e-05,0.0036521088852218457,4.435369473530521e-05,2.0578431245603997e-06,2.1882571898512824e-06,3.3275787264558247e-06,5.745481866429702e-06,3.219998276335663e-05,7.751952493507062e-06,2.632935966438068e-05,5.351108109081719e-05,3.528327939990133e-05,8.740091478419587e-06,1.871695438050699e-06,1.3035290369418864e-06,6.35208118879564e-08,0.005306359876889,1.383851800839072e-05,7.006368399813921e-06,4.447351163301603e-05,6.765805483903806e-05,1.684135271294422e-05,0.042640286081413084,0.00028694173920692546,1.0274332380857741e-05,7.279840791305856e-05,4.223163609580758e-06,0.00016533631076125606,0.00010304103703886998,0.0003172471212151483,8.682085782240172e-05,3.397560147789229e-05,1.2421807315211757e-07,0.00097126717970634,2.792515249975496e-05,9.711521079041897e-05,1.8848811797650728e-05,0.0002214349738362698,0.00011507128138199817,8.360559452115123e-05,5.3546563510656904e-05,0.00032324505330500353,8.052902862483814e-05,1.847700040270176e-05,0.00010534818630577525,1.6221367848714616e-05,1.1065238419812318e-05,2.689586786848639e-06,6.419160092472394e-05,0.00010719485853587061,0.0002572046056098943,1.2408089415261283e-05,8.78325420979183e-05,0.0005031224347433625,3.839980651768336e-05,0.002220661322996987,4.533269599582758e-05,0.0002658602822282623,9.975869349273973e-05,4.87431347064416e-05,0.0003408060827096308,0.00020221875837246598,2.1852101871683002e-05,1.952365119254123e-06,0.00027714567225472207,2.343728971363648e-05,0.00045133184548132,2.4318629725894402e-05,0.0008332420475166317,0.0033736471362125074,0.03532766027419141,7.241076983790955e-05,5.45741673952887e-06,0.01457394519224259
13,0.00013122080820893246,0.00039571566524040436,1.473196846323651e-06,4.691887681962742e-05,0.00016854433635431302,1.1994451529550756e-06,0.0005702566273527627,3.243426102863489e-06,0.0052114594670868665,0.0011792442211098577,8.448264200684829e-05,0.04535492426531852,0.0016519139848729734,0.0021763165551338093,0.8086643222215466,2.1964513677872507e-05,0.052725999252770016,5.376814793147788e-06,0.0002795522841939097,5.8359289281242306e-05,0.0008006268183277316,6.0679030299286935e-06,0.0024344009532397204,5.363068510648726e-06,2.5023787616513656e-05,5.1544256873537306e-05,0.007052368885957472,6.625438409791985e-06,6.038366521072029e-07,1.186090407667384e-06,8.497684967729997e-06,8.894944243162877e-07,1.7477208982618022e-06,2.650382064341607e-06,4.276836272288342e-06,0.0002511420208844246,5.318928203195819e-05,1.3559224697435773e-06,2.763410588724575e-06,4.176276561421051e-07,5.166682333093414e-07,0.00012473585261118058,1.1413766771886721e-05,7.270825098279505e-05,4.93290285466767e-06,6.576700415845107e-07,3.09274540636616e-06,0.0010892406057658355,0.011101004529218713,0.003510793729477585,2.9832116640281487e-05,3.164516607612694e-06,3.32160065899333e-05,9.861441816187393e-05,1.6073431542720212e-05,1.403785571961642e-05,4.613505813202367e-05,6.12586902682169e-08,7.592009745215441e-06,1.1555764152254733e-05,3.817066603773677e-05,2.4575146798031465e-05,3.128201823735038e-06,0.0017380666211877865,5.8848010108385025e-05,1.4492221681806683e-06,3.476448934363996e-05,8.216390330461618e-07,4.078384960718253e-06,1.5381650669007366e-05,0.00016030123659589057,1.8437187466988334e-05,1.6074767116370418e-06,5.865430555521765e-06,0.0006134673314707872,4.0300697718861586e-05,5.9314409304896195e-06,8.941383206224825e-05,0.0008247801193725685,0.00015109281699902304,0.0006033584375931812,6.466813157460983e-06,2.7808437971485192e-05,3.107467805253784e-05,2.3482680916235363e-05,1.585583400202356e-05,3.854263183978043e-05,5.9311671816859395e-06,3.859041174965355e-06,0.0005584291390929616,2.0053905184789482e-05,0.0007049658821373135,7.524098651422757e-05,0.019425855196077816,0.016470756892060914,0.011735123114982373,0.0007475793169494342,1.3549590954070479e-05,3.897617964395659e-05
16,0.00020005331587136019,0.0002014325178127727,1.8035169568946157e-05,0.349080721701502,0.00010298590411683895,6.037367594635262e-06,0.000398172552192346,0.00032885830662420407,0.00036167287021604164,5.0794448832837374e-05,0.002145574812777847,0.0004960534319314661,0.0030645167586031427,0.0009601845309788664,0.001621224582290586,0.00019551002021318174,0.00033343062746907796,0.00031251629497504145,0.0011065216560722491,0.003843320153371106,0.00021506782714506237,0.0001485115501014091,0.001400795585825261,9.437901134380388e-05,0.0011924404011681353,0.0004733597507226546,0.021923069720665482,0.00016509566750039104,0.00047696992122188886,1.1713960161355455e-05,0.0021099404023540145,0.00012475807543064387,0.00010849455387780862,2.3548170593016166e-05,0.0009178223040705968,0.00022062939239513832,0.000939054736931462,2.054449899958743e-05,0.0001308586709350982,3.2785859312350055e-05,8.364950295148609e-06,0.008158126475211986,0.002665689203506606,0.002874340406497382,0.00012093776928397475,0.0018717938124010649,0.020922547551590336,0.0003902284926184747,0.00013901564099599712,0.00010149637729161363,0.0014783678538366413,0.00031186393659982743,0.024981124195265422,0.0017590724060787084,0.00010833206893229853,0.0009686823307794027,0.0011944079601698117,8.79654117182679e-06,0.003418349873923899,0.0002158754264068043,0.0008005212337185352,0.00019701422419859477,0.0023029628875680724,0.0002725234034022081,0.00036423149943428995,0.00046195314582166396,0.0005268108454358328,0.007576798467507223,0.0017174514450429457,0.0008915787379262649,0.0003635067688513776,0.00029475178560835126,3.8092004594203734e-05,0.004334619020140948,0.0006004506292198096,0.0045403343484185415,0.00014743969960745595,0.00048284711236233315,3.958324793046399e-05,0.0021361650548793955,0.000139546896205183,0.007943523723093425,8.979793500201717e-05,0.3319707210527075,0.00013372664817853363,0.002817701117469226,0.13477171471736066,0.00010676347853770701,6.777150761698137e-05,0.001152006515198154,0.0011812797320140127,0.0004778550166022606,0.002722699070577958,0.00816024108703758,0.008770575609982676,0.0003041313219819343,0.0012726277592347822,0.0010115789968143897,0.0015612318960896295
19,0.00014272427293749934,0.0002131050912772268,1.1193320910179021e-05,0.8901353406344726,3.3359278860855804e-05,3.925035202300136e-06,0.00019635369498886861,3.3709464752639388e-06,1.880348275512565e-05,3.6554341121968925e-05,0.0005752597966208963,4.8179862877394286e-05,0.0014137932284604138,5.3157062673021394e-05,7.022746345263184e-05,0.00011029295038554497,0.000782624219888019,5.190235831848903e-06,0.001042495305852683,0.00017683766487834682,0.0001311713896685888,6.839063216574156e-05,0.00036716201455758065,4.6724747388866916e-05,0.00029347984375217303,0.0008481581510543125,0.0006486002103470088,1.3615048725578464e-05,0.0006411923402775592,1.8968546201595087e-05,0.00016624550497758173,0.0008956573406172946,6.707286866687873e-05,3.4749981167752885e-06,0.0001694667843424328,5.119819422147613e-05,0.00043746255747006567,8.44722638444381e-06,5.084501942322314e-05,7.843690126664783e-05,7.268087235186049e-07,0.0010110793985446786,0.0001672523989366477,0.002894697310037069,4.1566078700133095e-05,0.00024581820650461074,0.03133336634364906,0.00017899156047848102,0.00014326565751354912,7.11340938816815e-05,0.01018805125357127,0.0027763149569542006,0.0012432008543807656,0.005315814840629388,6.38665159084745e-05,0.0007508782137638916,0.004998773521319308,5.877617137014811e-07,0.0002961754380963901,8.84524750790465e-05,0.0021585861615376566,5.1329698871026645e-05,7.611046272600809e-05,0.000134992366389071,0.0011557762098019328,0.0010881779911124576,1.647692523198882e-05,0.00010547943240992389,0.00022923973686652838,0.0004047445220355633,6.803711091159542e-05,2.974394020286205e-05,5.485910819141011e-06,0.00013287358119842078,0.0015616367060545,0.00028816330489229324,0.00022165862729075294,7.265747592960643e-05,1.1503087432242608e-05,0.0009542919826913808,4.5221685402015986e-05,0.0008452658568135067,2.9096519998928307e-05,0.001432284963013369,0.00019404900458313954,0.005139638227669633,0.0006922149763496852,0.002092343734679689,5.7935224154221945e-06,3.4762220745337106e-05,0.0005990013368899736,0.00016197282282315743,0.0002613007654768307,0.0020790028319383636,0.0024211050481463187,9.57533639331246e-05,0.0005965245804561283,0.000154325357420281,0.012464806048905588
23,1.4156173525293506e-06,0.00099955819403859,6.849054722820087e-05,0.0008702904471378433,3.7043265307531414e-05,0.007276289064564747,0.0006723891388214331,4.5870687875348515e-08,3.746209892107078e-08,8.884593185220209e-05,1.4011089689917798e-06,7.713767088167406e-06,1.9955939527755658e-05,4.1270854755926676e-07,7.865617535349979e-06,0.047251755962715726,6.0844391947213884e-05,2.293947614762206e-07,0.0003161161951365742,8.477081719067246e-05,0.0012831235181608373,3.79925659966753e-05,9.233932871674031e-05,8.596482870017038e-05,0.0007480573715000046,4.527732663103472e-05,0.002613767330504583,0.0009017913372826314,0.6124327051332162,0.1631385142360657,0.007404139323191132,1.0367056521661833e-05,3.979108123711229e-05,1.3735142626643643e-06,0.004388719174081654,3.265873976645271e-05,0.00015022391431633537,0.001728723479356846,2.6064331646539875e-05,0.0014596288624946071,0.0012905840561042662,1.9483144641186587e-06,0.010483298061767971,0.00013385299770543623,5.545721607208402e-06,2.6349746271935556e-06,6.026435955587059e-06,5.574984205503538e-05,4.038347284235056e-06,4.963984357629351e-06,0.0003933932453038715,0.017975346364454324,8.704561803148661e-07,8.318125954198483e-05,2.024366670462325e-05,0.003326114406752637,0.05996324145885552,3.338704147373718e-06,1.7367246051292132e-05,2.33354547942328e-05,3.85485906287157e-05,0.003042025328468585,6.986771410710077e-06,0.0006104515251393269,7.058517607438141e-05,6.116729423134922e-05,0.001874567417577332,3.389592850776599e-05,6.34066032421256e-05,0.0003126796054674094,0.0003850712534050486,7.561489061586747e-06,0.0005164522284730287,2.0240144911681392e-05,4.99957013059341e-05,8.160215155019289e-06,0.013406013385636913,4.8242703748830285e-05,0.00034425511657720434,0.00036304081592122324,0.0020023113639156256,0.009498062325843732,0.0001445664115101852,1.3573785492250299e-06,0.000898698675413892,6.247900160112285e-05,4.157044239804544e-06,0.012470683188142831,0.0035384172935455514,5.132668971906732e-06,0.00071918141967463,4.129758423632993e-06,5.815864541183859e-06,0.0003353339715497433,1.5952875735161253e-06,1.6503835853805662e-06,0.0003008035343021328,0.0002487288959325381,0.00031177934286563685
24,0.005454861447224304,0.00027983692853739763,3.318651324363799e-05,1.5281614184380696e-06,8.006144893837705e-05,0.0028589371080625847,0.0033331263994761844,1.4026308431656077e-06,0.005463815829385998,0.0004806356350072363,0.008357285536808621,1.589094019569254e-05,2.9420242338574054e-06,1.8919689097233766e-05,3.096077724974267e-06,0.0001387029530578512,0.002448331438130842,5.481383566424537e-06,2.6339175640171925e-05,0.001104782964349063,0.0021346371526270416,1.7941593791222823e-05,7.571337614587519e-07,0.0002785700734110498,1.6814177534570628e-06,5.5902088808264346e-05,0.0003817245082688988,7.898481853255255e-06,4.33917411044794e-06,2.85836826489338e-05,4.1803254159917083e-07,0.01146877943208526,0.0003671026583766226,0.0003520489672959224,7.664504336667747e-05,2.686688813411684e-05,0.00026798182987709134,0.00015074200265459786,6.858700937838528e-06,0.006459724032413954,1.2672441239751357e-06,2.768037424484736e-06,1.6211715379077443e-05,2.4395962734853334e-05,1.3251131385426299e-05,0.0006180907189658068,5.382553507208275e-06,0.0001569349652414795,1.0867008923424088e-06,4.246754756680844e-05,4.354545115769075e-06,0.0002626106126895588,5.099445620888264e-06,1.022415369070929e-05,0.002976051430840882,0.00012372528199180476,8.362363336238719e-06,1.6670167405941106e-07,0.0001805955816565216,0.0019192440182021198,0.00010541506467463452,3.792554896901409e-05,5.893353185668757e-07,1.4933370008319853e-06,8.060406189941691e-05,0.0008083067289893729,2.9482352352268977e-06,1.3213728186133902e-07,7.929831314340922e-05,0.005161412043327875,0.0005748437977856489,3.562295546192749e-05,0.0022081286769591447,1.008484848553448e-06,0.0007438757872193369,6.183471685636518e-06,1.2259667456118357e-05,4.99264364946087e-07,0.004409751518906642,0.0008507952836522966,0.0004790481687947905,0.00011682826050199248,0.00030572519706651086,6.480216536044061e-05,0.9244139289053684,1.1886680503290748e-05,3.6630002029923093e-06,7.818996016269651e-06,1.5891059116602246e-06,4.466901049124368e-05,0.00012054867171657217,9.75927527217525e-06,0.0003598976297141688,0.00033658276957175407,2.2669841447559355e-05,3.492085273125518e-06,1.3030295119125559e-06,8.89071216578931e-07,3.1465301780857844e-06
28,0.010566399979470582,0.020715525236880843,0.0001827566588121923,5.306734877995071e-06,9.487269117264194e-05,6.756101894353302e-05,0.0004536133537918374,2.049477698726065e-05,0.9096459479597554,5.814055347822521e-05,0.007337542028715885,0.0003925559467203145,0.0004345284793972118,0.00031168240611014776,0.0017533270596612875,2.7187863276953e-05,0.015843000232798304,8.812290736612684e-05,6.076660866061511e-05,0.006047196270188555,3.6006077707087734e-05,6.955826371644988e-05,8.950562941175259e-07,2.0380638243420995e-07,1.013719906983458e-06,4.4747318801286695e-06,7.365379148935448e-05,9.8392887657784e-07,1.0724602196081918e-06,3.445212484435229e-06,1.3522298859701094e-06,8.386404390335284e-06,0.0004013266070680366,0.0015181961332498479,1.609192692296158e-05,6.184749116845314e-05,6.1112660363979686e-06,4.671607891535682e-06,2.184611109530958e-07,0.00023246526632752184,5.133202930526694e-06,6.83590698321465e-05,1.0837526813041058e-05,3.684940682894047e-06,2.113470690222093e-05,5.620705853304733e-05,1.1874879512873504e-05,0.0002877351831709404,0.00023118063782347453,0.0001059141861626825,2.8059162503807066e-06,8.89149986692187e-08,4.095467719839146e-05,0.00010484454646285975,0.0003724665361339201,3.041563009688871e-05,1.0609216376535544e-05,4.297833343219065e-08,1.1358805291448595e-05,6.301829370318952e-06,2.6795847980046794e-05,6.954199626548054e-06,7.0666798884546385e-06,6.472779325120898e-06,5.8515129937519525e-06,0.000167913847008726,5.7741961003846906e-06,2.7792048572139327e-06,5.992381267633822e-05,0.0005736181479964469,6.934138321016315e-06,6.418475775460896e-06,1.5036358068631784e-05,2.0207106502072354e-05,0.0001420876163411127,7.648414933503824e-05,5.767571787285737e-07,1.1849542551338677e-06,0.013714205441261638,1.7071097660493024e-05,3.7433705021163004e-05,1.129140334712191e-05,2.0897651877578806e-05,7.980193537224379e-05,0.0006331184944979777,6.262995596838739e-05,9.431859459211665e-05,2.215495341452639e-05,3.0470896193802226e-07,0.0006164223131299759,0.00022570373484618589,0.00022866346872247952,3.0283496786963954e-05,0.0008244253297986274,0.002274841968046818,0.00046934798576163606,1.3359739665147847e-06,4.285715032251371e-07,0.0015727857782804225
